epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1827.73,0.87534,0.77462,1.23695,0.82934,0.83058,0.86562,0.61717,0.99895,0.76122,1.31319,0.0014588,0.0014588,0.0014588
43,1853.72,0.85895,0.73231,1.21573,0.83044,0.81405,0.8684,0.6136,0.95465,0.79345,1.30295,0.0014456,0.0014456,0.0014456
44,1880.81,0.85294,0.73661,1.20797,0.80803,0.81818,0.86789,0.62238,0.9889,0.76853,1.31896,0.0014324,0.0014324,0.0014324
45,1908.13,0.84455,0.71386,1.21102,0.91407,0.79119,0.87846,0.64356,0.99407,0.68897,1.31569,0.0014192,0.0014192,0.0014192
46,1935.21,0.85567,0.73212,1.21337,0.85886,0.77954,0.87096,0.63688,0.98163,0.74656,1.2763,0.001406,0.001406,0.001406
47,1962.12,0.81399,0.72137,1.1878,0.82112,0.81565,0.86849,0.62577,0.97357,0.7458,1.27596,0.0013928,0.0013928,0.0013928
48,1991.17,0.80473,0.69886,1.19017,0.8159,0.84239,0.88929,0.64438,0.92996,0.73164,1.26136,0.0013796,0.0013796,0.0013796
49,2018.17,0.8179,0.68315,1.18437,0.88676,0.76033,0.88517,0.65499,0.92448,0.73033,1.26473,0.0013664,0.0013664,0.0013664
50,2046.24,0.81975,0.6938,1.19635,0.87803,0.78099,0.85452,0.62061,0.99825,0.80943,1.31211,0.0013532,0.0013532,0.0013532
51,2073.28,0.79289,0.69012,1.16924,0.90489,0.78626,0.89022,0.65098,0.95275,0.72276,1.28387,0.00134,0.00134,0.00134
52,2100.19,0.78091,0.6651,1.16289,0.82179,0.83884,0.89521,0.64023,0.92448,0.80052,1.24711,0.0013268,0.0013268,0.0013268
53,2127.49,0.76629,0.65882,1.15635,0.83276,0.81405,0.86708,0.62832,0.94043,0.75991,1.27414,0.0013136,0.0013136,0.0013136
54,2154.79,0.77309,0.66817,1.1697,0.89178,0.8172,0.87577,0.64239,0.94851,0.72304,1.26145,0.0013004,0.0013004,0.0013004
55,2182.19,0.75074,0.63444,1.14113,0.82805,0.79339,0.86888,0.62087,0.99253,0.72074,1.28673,0.0012872,0.0012872,0.0012872
56,2212.16,0.7474,0.65049,1.14151,0.78493,0.83884,0.86407,0.61443,1.0261,0.71773,1.35331,0.001274,0.001274,0.001274
57,2239.16,0.76065,0.65626,1.16043,0.90724,0.76793,0.88237,0.64256,0.97116,0.69998,1.2856,0.0012608,0.0012608,0.0012608
58,2266.44,0.74914,0.66234,1.13894,0.83384,0.788,0.8667,0.64013,0.93805,0.71487,1.29613,0.0012476,0.0012476,0.0012476
59,2294.46,0.74536,0.64745,1.1477,0.90111,0.79077,0.87173,0.65331,0.93976,0.70355,1.30237,0.0012344,0.0012344,0.0012344
60,2321.5,0.75809,0.64685,1.15702,0.88501,0.80579,0.87105,0.63223,0.95831,0.75001,1.29114,0.0012212,0.0012212,0.0012212
61,2347.99,0.75521,0.63396,1.14474,0.88515,0.79619,0.8704,0.64407,0.97193,0.71089,1.30797,0.001208,0.001208,0.001208
62,2374.89,0.73543,0.6294,1.1364,0.91507,0.71239,0.85065,0.62013,0.98878,0.79076,1.29944,0.0011948,0.0011948,0.0011948
63,2402.42,0.73789,0.64517,1.13974,0.83055,0.84298,0.88281,0.67524,0.92395,0.69613,1.26473,0.0011816,0.0011816,0.0011816
64,2431.99,0.75081,0.63685,1.15308,0.8542,0.82313,0.88806,0.66088,0.9234,0.68932,1.24876,0.0011684,0.0011684,0.0011684
65,2459.1,0.75464,0.64873,1.15795,0.89187,0.78512,0.88057,0.63692,0.954,0.6992,1.27286,0.0011552,0.0011552,0.0011552
66,2486.78,0.73903,0.63788,1.15138,0.91214,0.79339,0.88564,0.66327,0.90421,0.69394,1.24024,0.001142,0.001142,0.001142
67,2513.01,0.73015,0.62063,1.13568,0.88224,0.78099,0.87436,0.6457,0.90809,0.66187,1.24703,0.0011288,0.0011288,0.0011288
68,2540.03,0.72013,0.61405,1.12307,0.88521,0.80992,0.90269,0.64889,0.93303,0.66425,1.28601,0.0011156,0.0011156,0.0011156
69,2567.1,0.72265,0.61065,1.1298,0.90168,0.75794,0.87159,0.62585,0.99574,0.74667,1.30661,0.0011024,0.0011024,0.0011024
70,2594.44,0.72851,0.63436,1.13839,0.87202,0.83471,0.89659,0.65197,0.95202,0.64591,1.29606,0.0010892,0.0010892,0.0010892
71,2621.31,0.71604,0.62918,1.11833,0.87385,0.80992,0.87176,0.64755,0.92826,0.68715,1.25768,0.001076,0.001076,0.001076
72,2650.83,0.6994,0.59606,1.11563,0.86851,0.79154,0.88036,0.64724,0.94237,0.7091,1.28297,0.0010628,0.0010628,0.0010628
73,2677.97,0.7082,0.60523,1.11282,0.85512,0.82923,0.88485,0.66013,0.9351,0.69853,1.27619,0.0010496,0.0010496,0.0010496
74,2705,0.69762,0.58495,1.10491,0.8606,0.82645,0.88929,0.66646,0.91376,0.67339,1.26921,0.0010364,0.0010364,0.0010364
75,2733.46,0.71289,0.6138,1.12402,0.84572,0.83058,0.88363,0.66468,0.91424,0.6678,1.23707,0.0010232,0.0010232,0.0010232
